Symbol,Date,Adjusted_price
BBY,2017-10-31,52.18
BBY,2015-10-30,30.39
BIO,2020-10-30,592.28
BIO,2020-09-30,520.61
BIO,2020-07-31,530.14
BIO,2020-04-30,444.5
BIO,2019-10-31,334.94
BIO,2017-10-31,221.99
BIO,2015-10-30,140.87
BIIB,2020-10-30,254.59
BIIB,2020-09-30,286.52
BIIB,2020-07-31,277.44
BIIB,2020-04-30,299.8
BIIB,2019-10-31,301.7
BIIB,2017-10-31,314.78
BIIB,2015-10-30,293.42
BLK,2020-10-30,605.2
BLK,2020-09-30,569.19
BLK,2020-07-31,577.3
BLK,2020-04-30,500.7
BLK,2019-10-31,453.89
BLK,2017-10-31,438.93
BLK,2015-10-30,312.13
BA,2020-10-30,145.83
BA,2020-09-30,166.91
BA,2020-07-31,159.58
BA,2020-04-30,142.43
BA,2019-10-31,339.3
BA,2017-10-31,246.99
BA,2015-10-30,132.28
BKNG,2020-10-30,1638.72
BKNG,2020-09-30,1727.79
BKNG,2020-07-31,1678.75
BKNG,2020-04-30,1495.38
BKNG,2019-10-31,2069.26
BKNG,2017-10-31,1931.08
BKNG,2015-10-30,1468.78
BWA,2020-10-30,35.33
BWA,2020-09-30,39.13
BWA,2020-07-31,36.81
BWA,2020-04-30,28.58
BWA,2019-10-31,41.31
BWA,2017-10-31,50.6
BWA,2015-10-30,39.94
BXP,2020-10-30,73.13
BXP,2020-09-30,81.1
BXP,2020-07-31,88.91
BXP,2020-04-30,95.9
BXP,2019-10-31,133.03
BXP,2017-10-31,110.93
BXP,2015-10-30,109.17
BSX,2020-10-30,34.61
BSX,2020-09-30,38.59
BSX,2020-07-31,38.96
BSX,2020-04-30,37.85
BSX,2019-10-31,42.12
BSX,2017-10-31,28.42
BSX,2015-10-30,18.46
BMY,2020-10-30,59.03
BMY,2020-09-30,60.44
BMY,2020-07-31,58.8
BMY,2020-04-30,60.5
BMY,2019-10-31,56.21
BMY,2017-10-31,56.87
BMY,2015-10-30,57.84
AVGO,2020-10-30,353.13
AVGO,2020-09-30,367.96
AVGO,2020-07-31,317.03
AVGO,2020-04-30,269.08
AVGO,2019-10-31,282.41
AVGO,2017-10-31,238.23
AVGO,2015-10-30,107.75
BR,2020-10-30,138.98
BR,2020-09-30,133.32
BR,2020-07-31,135.11
BR,2020-04-30,116.14
BR,2019-10-31,124.12
BR,2017-10-31,82.5
BR,2015-10-30,55.0
BF-B,2020-10-30,70.41
BF-B,2020-09-30,76.07
BF-B,2020-07-31,69.88
BF-B,2020-04-30,62.52
BF-B,2019-10-31,65.5
BF-B,2017-10-31,43.36
BF-B,2015-10-30,38.5
CHRW,2020-10-30,89.31
CHRW,2020-09-30,103.21
CHRW,2020-07-31,94.17
CHRW,2020-04-30,70.81
CHRW,2019-10-31,74.51
CHRW,2017-10-31,74.02
CHRW,2015-10-30,62.23
COG,2020-10-30,17.97
COG,2020-09-30,17.53
COG,2020-07-31,18.8
COG,2020-04-30,21.61
COG,2019-10-31,18.41
COG,2017-10-31,26.73
COG,2015-10-30,20.74
CDNS,2020-10-30,110.46
CDNS,2020-09-30,107.7
CDNS,2020-07-31,110.34
CDNS,2020-04-30,81.94
CDNS,2019-10-31,66.0
CDNS,2017-10-31,43.59
CDNS,2015-10-30,22.44
CPB,2020-10-30,47.14
CPB,2020-09-30,48.5
CPB,2020-07-31,49.7
CPB,2020-04-30,49.76
CPB,2019-10-31,45.43
CPB,2017-10-31,43.4
CPB,2015-10-30,44.04
COF,2020-10-30,73.81
COF,2020-09-30,72.58
COF,2020-07-31,64.34
COF,2020-04-30,64.87
COF,2019-10-31,92.68
